formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
안녕하세요. 어째 표정이 안 좋습니다?	안녕. 어째 표정이 안 좋다?			하이~ 표정이 별로 안좋다?	ㅎㅇ 표정이 왜 그럼?						ㅎㅇ 표정 뭐냐					
안녕하세요. 잠을 못 자서 그런 것일겁니다.	안녕. 잠을 못 자서 그런 거야.			하이…잠을 못 자서 그런 걸 거임	ㅎㅇ 잠을 못 자서 그런 듯						ㅎㅇ 잠 못자서 그런거임 왜					
오늘 시험이 있었나요?	오늘 시험이 있었어?			오늘 시험 있었음?	오늘 셤 있었음?						오늘 시험 있었냐					
네, 기말 시험 두개가 오늘 있어서 공부하느라 잠을 못 잤어요.	응, 기말 시험 두개가 오늘 있어서 공부하느라 잠을 못 잤어.			ㅇㅇ 기말 시험 두개가 오늘 있어서 공부하느라 잠을 못 잠	ㅇㅇ 기말 셤 두개가 오늘이라 공부하다가 잠을 못 잠						ㅇ 기말시험 두개 오늘 있어서 공부하느라 잠 못잤음					
시험은 잘 보셨나요?	시험은 잘 봤어?			시험 잘 봤음?	셤은 잘 봄?						시험은 잘 봤냐					
밤을 샌 보람이 있는지는 모르겠네요. 잘 본지 모르겠어요.	밤을 샌 보람이 있는지는 모르겠네. 잘 본 건지 모르겠어.			밤을 샌 보람이 있는건지 몰겠네;; 잘 본 건지 몰겠어..ㅠ	밤 샌 보람이 있는진 모르겟음 잘 본 건지,,						밤을 샌 보람이 있는지 모르겠음. 잘 본건지					
분명 노력하셨으니 상응하는 보답을 받을 겁니다.	분명 노력했으니 상응하는 보답을 받을 거야.			노력했으니까 그에 맞는 보답을 받을거임	분명 노력한만큼 보상 받을 거임						노력했으니 상응하는 보답 받겠지 ㅡㅡ					
학기 내내 놀다가 마지막에 미룬 공부를 하려는데 너무 힘들었어요.	학기 내내 놀다가 마지막에 미룬 공부를 하려는데 너무 힘들었어.			학기 내내 놀다가 마지막에 미룬 공부 하려는데 너무 힘들었음 ㅠㅠ	학기 내내 놀다가 막판에 미룬 공부 하려는데 넘 힘들었음						학기 내내 놀다가 마지막에 미룬 공부 하는데 더럽게 힘듬 ㅡㅡ					
이제 시험은 끝나셨나요?	이제 시험은 끝났어?			이제 셤은 끝났음?	이젠 셤 끝남?						시험은 끝났냐 이제					
아니요, 내일 또 하나 있습니다.	아니, 내일 또 하나 있어.			ㄴㄴ 내일 또 하나 있음	ㄴㄴ 낼 하나 있음						ㄴ 내일 또 하나 있음					
그러면 지금 공부하셔야 하는거 아닌가요?	그러면 지금 공부해야 하는거 아냐?			그럼 지금 공부해야하는거 아님?	그럼 지금 공부해야하는 거 아님?						그럼 지금부터 공부해야지 ㅡㅡ					
그래야 하지만, 너무 잠이 와요. 조금만 자고 해야겠습니다.	그래야 하지만, 너무 잠이 와. 조금만 자고 해야겠어.			그래야하긴 하는데…너무 잠이 옴..좀만 자고 해야겠음..ㅠ	그래야 하는데 넘 잘 옴 좀만 자고 해야할 듯						그래야 되는데 졸림. 좀만 자다 함					
최대한 푹 주무시고 내일까지 잘 정리할 수 있는 것이 좋은 것 같습니다.	최대한 푹 자고 내일까지 잘 정리할 수 있는 것이 좋은 것 같아.			최대한 푹 자고 낼까지 잘 정리할 수 있는 게 좋을 듯	최대한 푹 자고 낼까지 잘 정리하는 게 좋을 듯						최대한 푹 자고 내일까지 잘 정리하는게 좋을듯					
네, 8시까지만 자고 일어나서 또 밤을 새려고요.	8시까지만 자고 일어나서 또 밤을 새려고 해.			8시까지만 자고 일어나서 밤 새울려구…	8시까지만 자고 일어나서 또 밤새려고 						8시까지만 자고 일어나서 밤샐거임					
내일 있는 시험이 마지막 시험인가요?	내일 있는 시험이 마지막 시험이야?			내일 있는 셤이 마지막임?	낼 있는 셤이 막셤임?						내일 있는 시험이 마지막 시험이냐					
네, 그 시험만 치고 나면 이제 진짜 잘 수 있습니다.	응, 그 시험만 치고 나면 이제 진짜 잘 수 있어.			ㅇㅇ 그 셤만 치고 나면 이제 진짜 잘 수 있음	ㅇㅇ 그 셤만 치면 이제 ㄹㅇ 잘 수 있음						ㅇ 그시험만 치고 나면 이제 진짜 잘 수 있음					
																
안녕하세요. 취미활동으로 뭘 하세요?	안녕. 취미활동으로 뭘 해?			하이, 취미 뭐임?	ㅎㅇ 취미생활로 뭐함?						ㅎㅇ 취미활동으로 뭐하냐					
저는 요리하는 것을 좋아합니다. 요리를 좋아하시나요?	나는 요리하는 것을 좋아해. 요리를 좋아하니?			나 요리하는 거 좋아함. 요리 좋아함?	난 요리하는 거 좋아함 넌? 요리 좋아함?						난 요리하는거 좋아함. 요리 좋아하냐					
저도 요리하는 것을 좋아하지만, 야채는 너무나도 싫어합니다.	나도 요리하는 것을 좋아하지만, 야채는 너무나도 싫어해.			나도 요리 좋아하는데, 야채는 너무 싫음…	나도 요리하는 건 좋아하는데 야채는 극혐임						나도 요리하는거 좋아하긴 하는데 야채 극혐함 ㅡㅡ					
야채 없이 요리를 하나요 그러면?	야채 없이 요리를 해 그러면?			그럼 야채 없이 요리를 함?	그럼 야채 없이 요리함?						야채도 없이 요리하냐 그럼					
핫도그 같은 음식들은 야채 없이도 충분히 만들 수 있습니다.	핫도그 같은 음식들은 야채 없이도 충분히 만들 수 있어.			핫도그 같은 음식은 야채 없어도 충분히 만들 수 있음	핫도그 같은 음식은 야채 없이도 충분히 쌉가능						핫도그 같은 음식들은 야채 없이도 만들 수 있음					
저는 야채 없는 요리는 상상할 수가 없는 것 같아요.	나는 야채 없는 요리는 상상할 수가 없는 것 같아.			난 야채 없는 요리는 상상 못 하겠음…	난 야채 없는 요리 상상도 안됨						난 야채 없는 요리는 상상도 못함					
주로 어떤 요리를 만드세요?	주로 어떤 요리를 만들어?			보통 어떤 요리 만듬?	주로 어떤 요리함?						주로 어떤 요리 만드는데 ㅡㅡ					
유튜브를 보고 만들고 싶은 요리를 만들어요.	유튜브를 보고 만들고 싶은 요리를 만들어.			유튭보고 만들고 싶은 요리 만듬	유튭보고 만들고 싶은 거 만듦						유튜브 보고 만들고 싶은 요리 만듬					
멋있으세요. 저는 주로 제가 먹고 싶은 메뉴를 검색하는 주의입니다.	멋있다. 나는 주로 내가 먹고 싶은 메뉴를 검색하는 주의야.			멋있당…난 보통 내가 먹고 싶은 메뉴 검색하는 주의임 ㅋㅋ	믓찌다 난 주로 내가 먹고 싶은 메뉴 검색하는 주의임						ㅇㅎ 난 주로 내가 먹고 싶은 메뉴를 검색하는 주의임					
최근에는 동파육을 만들었어요.	최근에는 동파육을 만들었어.			최근에는 동파육 만들었음 ㅋㅋ	최근엔 동파육 만들었음						최근에는 동파육 만듬					
동파육이 뭔가요?	동파육이 뭐야?			동파육이 뭐임?	동파육이 뭐임?						동파육이 뭔데 ㅡㅡ					
삽겹살이랑 비슷한데 약간 수육 같기도 하면서 소스가 맛있는 고기입니다.	삽겹살이랑 비슷한데 약간 수육 같기도 하면서 소스가 맛있는 고기야.			삼겹살하고 비슷한데 약간 수육 같기도 하면서 소스가 맛있는 고기임	삼겹살이랑 비슷한데 약간 수육 같기도 하면서 소스가 존맛인 고기임						삼겹살이랑 비슷한데 약간 수육 같기도 하면서 소스가 맛있는 고기임					
상상만 해도 군침이 도네요.	상상만 해도 군침이 도네.			상상만해도 침이…ㄷㄷ	상상만 해도 군침이 싹 도누						상상만 해도 군침이 돈다					
하지만 만들 때 청경채가 들어가요.	하지만 만들 때 청경채가 들어가.			근데 만들 때 청경채가 들어감	하지만 만들 때 청경채가 들어감						근데 만들 때 청경채 들어감					
청경채는 야채 아닌가요? 못 먹을 것 같습니다.	청경채는 야채 아니야? 못 먹을 것 같아.			청경채는 야채 아님? 못 먹을듯…	청경채는 아채 아님? 못 먹을 듯,,						청경채는 야챈데 ㅡㅡ 못먹을듯					
아쉽네요. 청경채 없는 동파육에 도전하시는 건 어떤가요?	아쉽네. 청경채 없는 동파육에 도전하는 건 어때?			까비…청경채 없는 동파육을 도전해보는건 어떰?	아쉽 청경채 없는 동파육 도전?						ㅇㅎ 청경채 없는 동파육 도전하던가 그럼					
																
여가시간에는 뭘 하시나요?	여가시간에는 뭘 해?			여가시간에 뭐 함?	여가 시간에 뭐함?						여가시간엔 뭐하냐					
넷플릭스를 보고 있습니다.	넷플릭스를 보고 있어.			넷플릭스 보고 있음	넷플 조짐						넷플릭스 봄					
넷플릭스에 볼 만한 쇼가 뭐가 있나요?	넷플릭스에 볼 만한 쇼가 뭐가 있지?			넷플릭스에 볼 만한 쇼 뭐 있지?	넷플에 볼많나 거 뭐 있음?						넷플릭스에 볼만한거 뭐있는데					
저는 오피스를 자주 봅니다.	나는 오피스를 자주 봐.			난 오피스 자주 봄	난 오피스 자주 봄						난 오피스 자주 봄					
오피스가 아직 넷플릭스에 있었나요?	오피스가 아직 넷플릭스에 있었나?			오피스가 아직 넷플릭스에 있었음?	오피스 아직 넷플에 잇음?						오피스아 아직도 넷플릭스에 있냐 ㅡㅡ					
네, 2020년까지 볼 수 있습니다.	응, 2020년까지 볼 수 있어.			ㅇㅇ 2020년까지 볼 수 있음	ㅇㅇ 2020까진 볼 수 있음						ㅇ 2020년까지 볼 수 있음					
내년부터는 볼 수 없겠네요.	내년부터는 볼 수 없겠네.			내년부턴 못 보겟네	내년부턴 못 보겠네						내년부턴 못보겠네그럼					
다른 스트리밍 서비스로 넘어간다는데, 자세히는 모르겠어요.	다른 스트리밍 서비스로 넘어간다는데, 자세히는 모르겠어.			다른 스트리밍 서비스로 넘어간다는데, 자세히는 몰겠음	다른 스트리밍 서비스로 넘어간다던대, 자세힌 모름						다른 스트리밍 서비스로 넘어간다는데 자세히는 모르겠음					
저는 넷플릭스 계정이 없고, 대신 유튜브를 봅니다.	나는 넷플릭스 계정이 없고, 대신 유튜브를 봐.			난 넷플릭스 계정 없어서 대신 유튜브 봄	난 넷플 계정이 없어서 유튭봄						나 넷플릭스 계정 없고 대신 유튜브 봄					
어떤 좋아하는 유튜버가 있나요?	어떤 좋아하는 유튜버가 있어?			좋아하는 유튜버 있음?	좋아하는 유튜버 있음?						유튜버 누구 좋아하는데 그래서 ㅡㅡ					
네, 요리 유튜버인데 우리가 흔히 먹는 인스턴트 음식들을 요리로 만들어줘요.	요리 유튜버인데 우리가 흔히 먹는 인스턴트 음식들을 요리로 만들어줘.			요리 유튜버인데 우리가 흔히 먹는 인스턴트 음식들 요리로 만들어줌	요리 유튜버인데 우리가 흔히 먹는 인스턴트 음식을 요리로 만들어줌						요리 유튜버인데 우리가 흔히 먹는 인스턴트 음식들 요리로 만들어줌					
인스턴트 음식을 고급지게 만들면 어떤지 궁금하네요.	인스턴트 음식을 고급지게 만들면 어떤지 궁금하네.			인스턴트 음식을 고급지게 만들면 어떨지 궁금하네	인스턴트 음식을 고급지게 만들면 어떨지 궁금하누						인스턴트 음식을 고급지게 만들면 어떨지 궁금하긴 하네					
아니요, 고급지게 만드는 것이 아니라, 정확히 똑같은 맛이 나게 하려고 하는 채널입니다.	아니, 고급지게 만드는 것이 아니라, 정확히 똑같은 맛이 나게 하려고 하는 채널이야.			ㄴㄴ 고급지게 만든느게 아니라 정확히 똑같은 맛이 나게 하려고 하는 채널임 ㅋㅋ	ㄴㄴ 고급지게 만드는 게 아니라 정확히 똑같은 맛 나게 하려는 채널임						ㄴ 고급지게 만드는게 아니라 정확히 똑같은 맛 나게 하려고 만드는 채널임 ㅡㅡ					
똑같은 맛을 내면, 차라리 사먹는게 낫지 않나요?	똑같은 맛을 내면, 차라리 사먹는게 낫지 않을까?			똑같은 맛 내는 거면 차라리 사먹는게 낫지 않나?	똑같은 맛 내면 차라리 사먹는 게 낫지 않ㅇ므?						똑같은 맛 내면 차라리 사먹는게 나을듯					
그래서 영상 이름이 제발, 사드세요 이에요.	그래서 영상 이름이 제발, 사드세요 야.			그래서 영상 이름이 제발, 사드세요 임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	그래서 영상이 제발 사드세요임						그래서 영상 이름이 제발, 사드세요 임					
참신한 컨텐츠네요.	참신한 컨텐츠같네.			참신한 컨텐츠네 ㅋㅋㅋㅋㅋㅋㅋ	참신하네						참신한 컨텐츠네 ㅡㅡ					
																
안녕하세요, 에쁜 그림이네요.	안녕, 에쁜 그림이네.			하이, 이쁜 그림이네	ㅎㅇ 그림이 예쁘누						ㅎㅇ 그림 이쁘네 나름					
감사합니다. 제가 그린 그림입니다.	고마워. 내가 그린 그림이야.			ㄳㄳ 내가 그린 그림임!	ㄳ 내가 그린 거임						ㄳ 내가 그린 그림임					
그림이 투박하면서도 생기가 있는 것 같아요.	그림이 투박하면서도 생기가 있는 것 같아.			그림이 투박하면서 생기 있는 거 같애!	그림이 투박하면서도 생기 있는 듯						그림이 투박하면서도 생기가 있는듯					
그림에 관심이 있으신가요?	그림에 관심이 있어?			그림에 관심 있음?	그림에 관심 있음?						그림에도 관심 있냐 ㅡㅡ					
아니요, 하지만 어디서 본 장소 같아서 자꾸 눈길이 가는 것 같아요.	아니, 하지만 어디서 본 장소 같아서 자꾸 눈길이 가는 것 같아.			ㄴㄴ 근데 어디서 본 장소 같아서 자꾸 눈길이 가는 거 같음 ㅋㅋ	ㄴㄴ 근데 어디서 본 장소 같아서 자꾸 눈길이 가누						ㄴ 근데 어디서 본데 같아서 자꾸 눈길 가는듯					
이건 청계산을 그린 그림입니다.	이건 청계산을 그린 그림이야.			이거 청계산 그린 거임	이건 청계산 그린 그림임						이건 청계산 그린 그림임					
